,Emotion,value
0,angry,0.9334304
1,angry,0.93321407
2,angry,0.9125232
3,angry,0.9244832
4,angry,0.91280276
5,angry,0.5272401
6,happy,0.9790814
7,happy,0.9726749
8,happy,0.98955286
9,happy,0.99281776
10,happy,0.98720306
11,happy,0.987694
12,happy,0.46494046
13,angry,0.762555
14,angry,0.7729058
15,angry,0.7422901
16,angry,0.8497953
17,angry,0.8080775
18,angry,0.9049759
19,angry,0.9046117
20,angry,0.8815595
21,angry,0.85108614
22,angry,0.9022294
23,angry,0.8508947
24,angry,0.9132205
25,angry,0.87185097
26,angry,0.76456386
27,angry,0.8610871
28,angry,0.8512175
29,angry,0.87729704
30,angry,0.88210213
31,angry,0.8947565
32,angry,0.92539966
33,angry,0.9720819
34,angry,0.9553981
35,angry,0.89691967
36,angry,0.93563837
37,angry,0.9817385
38,angry,0.9846103
39,angry,0.9577294
40,angry,0.9887533
41,angry,0.9792795
42,angry,0.91053134
43,angry,0.92426723
44,angry,0.8879833
45,angry,0.9173644
46,angry,0.9183217
47,angry,0.9436649
48,angry,0.93057215
49,angry,0.83154875
50,angry,0.8807661
51,angry,0.903274
